"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1247","Check displaying of dashboard page","LMS system","2026-09-26","passed","2026-09-26","Dashboard","Dashboard","",""
"","2494","User login with correct email and password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","8868","User login with correct email and password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1602","Navigation from login page to registration page","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","2479","Create course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1413","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","3519","Edit course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1350","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1920","Check displaying of dashboard page","LMS system","2026-09-26","passed","2026-09-26","Dashboard","Dashboard","",""
"","1889","Registration with correct email, username and password","LMS system","2026-09-26","passed","2026-09-26","Registration","Authentication","",""
"","1558","Check displaying of empty courses list","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1294","Attempt to login with email:   ","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1224","Check displaying of empty courses list","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1765","Registration with correct email, username and password","LMS system","2026-09-26","passed","2026-09-26","Registration","Authentication","",""
"","2241","Create course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","4312","Edit course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","2003","Attempt to login with email:   ","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1979","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1271","Navigation from login page to registration page","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1432","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
