"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1526","Attempt to login with email:   ","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","2240","Create course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","2081","Attempt to login with email:   ","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1898","Check displaying of dashboard page","LMS system","2026-09-26","passed","2026-09-26","Dashboard","Dashboard","",""
"","1657","Registration with correct email, username and password","LMS system","2026-09-26","passed","2026-09-26","Registration","Authentication","",""
"","1275","Check displaying of empty courses list","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1998","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","3547","Edit course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","2524","Create course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","9022","User login with correct email and password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1511","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1137","Navigation from login page to registration page","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","2695","User login with correct email and password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1969","Registration with correct email, username and password","LMS system","2026-09-26","passed","2026-09-26","Registration","Authentication","",""
"","1436","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","4706","Edit course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1764","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1368","Check displaying of dashboard page","LMS system","2026-09-26","passed","2026-09-26","Dashboard","Dashboard","",""
"","1533","Navigation from login page to registration page","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1585","Check displaying of empty courses list","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
