"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1832","Registration with correct email, username and password","LMS system","2026-09-26","passed","2026-09-26","Registration","Authentication","",""
"","1220","Navigation from login page to registration page","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","2373","Create course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","2063","Attempt to login with email:   ","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","9252","User login with correct email and password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","3191","Edit course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1288","Check displaying of empty courses list","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1435","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1151","Check displaying of dashboard page","LMS system","2026-09-26","passed","2026-09-26","Dashboard","Dashboard","",""
"","1481","Navigation from login page to registration page","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1355","Attempt to login with email:   ","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","4658","Edit course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1430","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","2269","Create course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1411","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","2023","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1873","Check displaying of dashboard page","LMS system","2026-09-26","passed","2026-09-26","Dashboard","Dashboard","",""
"","1849","Registration with correct email, username and password","LMS system","2026-09-26","passed","2026-09-26","Registration","Authentication","",""
"","1634","Check displaying of empty courses list","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","2711","User login with correct email and password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
