"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5768","Check displaying of empty courses list","LMS system","2026-09-26","failed","2026-09-26","Courses","Courses","",""
"","1934","Attempt to login with email:   ","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","6153","Edit course","LMS system","2026-09-26","failed","2026-09-26","Courses","Courses","",""
"","1027","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1156","Registration with correct email, username and password","LMS system","2026-09-26","passed","2026-09-26","Registration","Authentication","",""
"","4484","User login with correct email and password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","6253","Check displaying of empty courses list","LMS system","2026-09-26","failed","2026-09-26","Courses","Courses","",""
"","1721","Registration with correct email, username and password","LMS system","2026-09-26","passed","2026-09-26","Registration","Authentication","",""
"","951","Navigation from login page to registration page","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","6096","Create course","LMS system","2026-09-26","failed","2026-09-26","Courses","Courses","",""
"","1472","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1899","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","5806","Create course","LMS system","2026-09-26","failed","2026-09-26","Courses","Courses","",""
"","1377","Navigation from login page to registration page","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","5798","Edit course","LMS system","2026-09-26","failed","2026-09-26","Courses","Courses","",""
"","6474","Check displaying of dashboard page","LMS system","2026-09-26","failed","2026-09-26","Dashboard","Dashboard","",""
"","2961","User login with correct email and password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1144","Attempt to login with email:   ","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","6379","Check displaying of dashboard page","LMS system","2026-09-26","failed","2026-09-26","Dashboard","Dashboard","",""
"","1396","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
